,DER_mass_MMC,DER_mass_transverse_met_lep,DER_mass_vis,DER_pt_h,DER_deltar_tau_lep,DER_pt_tot,DER_sum_pt,DER_pt_ratio_lep_tau,DER_met_phi_centrality,PRI_tau_pt,PRI_tau_eta,PRI_tau_phi,PRI_lep_pt,PRI_lep_eta,PRI_lep_phi,PRI_met,PRI_met_phi,PRI_met_sumet,PRI_jet_num,PRI_jet_leading_pt,PRI_jet_leading_eta,PRI_jet_leading_phi,PRI_jet_all_pt
DER_mass_MMC,1,0.2221772845,0.9041509504,0.0238052994,0.540018681,0.0199464604,0.1091071204,0.063610725,0.0078959544,0.2210193816,-0.0020561987,-0.0051409467,0.2851495053,0.0029629472,-0.0030542754,0.092783764,-0.0001173597,0.0807108119,0.0060128389,0.006454448,0.0024527204,0.0065879131,0.003222408
DER_mass_transverse_met_lep,0.2221772845,1,0.2693225798,-0.189527852,0.1586098405,0.0433296673,-0.0614552011,0.2843463106,-0.3522420823,-0.0889009076,0.002886424,0.0002320807,0.288239317,0.0056356483,0.0003610906,-0.0327505757,-0.0142264393,-0.0645408253,-0.0628986656,-0.1517576715,-0.0001506299,0.0047274378,-0.1230340352
DER_mass_vis,0.9041509504,0.2693225798,1,-0.0992431796,0.5583365631,-0.0087296349,0.0588007051,0.1365964989,-0.1599608857,0.2237409896,-0.0042323698,-0.0039642564,0.3807483189,0.0048672986,-0.0029247906,-0.1511114202,-0.001259787,0.0237804903,-0.0422363232,-0.088758082,0.0037412736,0.0043799894,-0.0816673298
DER_pt_h,0.0238052994,-0.189527852,-0.0992431796,1,-0.6359609003,0.2012254504,0.7809838093,0.0904806582,0.3539617818,0.4466227152,-0.0063185534,0.0068168906,0.3868356588,-0.0086017712,-0.0041585019,0.7767593533,0.0054263665,0.711820039,0.3414518324,0.8305505418,0.002874363,0.0007435974,0.7257961179
DER_deltar_tau_lep,0.540018681,0.1586098405,0.5583365631,-0.6359609003,1,-0.1338242272,-0.4743633989,0.0704462964,-0.1831647133,-0.2832499902,0.0009696496,-0.0107098568,-0.113832911,0.007245452,-0.0007619574,-0.3904902892,-0.0007754762,-0.4455723655,-0.2469148632,-0.5225444454,0.0011556016,0.0062429316,-0.4680549273
DER_pt_tot,0.0199464604,0.0433296673,-0.0087296349,0.2012254504,-0.1338242272,1,0.3989374269,0.0410108564,-0.0012421956,0.075449916,0.0018433957,0.0036076273,0.097791697,0.0004853979,-0.0050709203,0.1933492893,-0.0020497941,0.471256872,0.4371947419,0.2174653607,-0.0042606734,0.0039397101,0.4346040211
DER_sum_pt,0.1091071204,-0.0614552011,0.0588007051,0.7809838093,-0.4743633989,0.3989374269,1,0.1143083232,0.1871725405,0.4848449327,-0.0046536833,0.0046243946,0.4555874759,-0.0057045753,-0.0043086946,0.5454412153,0.003554619,0.9052307542,0.6111288496,0.8806639706,0.0010246071,0.0023765468,0.9614449276
DER_pt_ratio_lep_tau,0.063610725,0.2843463106,0.1365964989,0.0904806582,0.0704462964,0.0410108564,0.1143083232,1,-0.0873694704,-0.4752859049,0.0015541235,0.0009989235,0.7343490643,0.0041337604,-0.0048541124,0.002764231,-5.43720826355326E-05,0.0506384484,0.0405734574,0.0761006568,0.0031781962,-9.90685141176735E-06,0.0747044906
DER_met_phi_centrality,0.0078959544,-0.3522420823,-0.1599608857,0.3539617818,-0.1831647133,-0.0012421956,0.1871725405,-0.0873694704,1,0.0685280324,-0.0020297969,-0.0051068549,-0.0458600289,-0.007512569,-0.0018162255,0.2321583724,0.0056005239,0.1679433838,0.119917853,0.2568974355,0.0059895467,0.0006682505,0.2183844542
PRI_tau_pt,0.2210193816,-0.0889009076,0.2237409896,0.4466227152,-0.2832499902,0.075449916,0.4848449327,-0.4752859049,0.0685280324,1,-0.0051494152,0.0018411211,0.0360545018,-0.0060930915,0.0030652953,0.1712882231,0.0006685992,0.4524420313,0.1308772883,0.3777282294,0.0001625562,0.0038400289,0.3173618015
PRI_tau_eta,-0.0020561987,0.002886424,-0.0042323698,-0.0063185534,0.0009696496,0.0018433957,-0.0046536833,0.0015541235,-0.0020297969,-0.0051494152,1,-0.0010447618,-0.0051921236,0.5841580011,0.0014910268,-0.0020552991,-0.0001594566,-0.0031224991,0.0005891577,-0.0039681734,0.2156509176,-0.0020094638,-0.0029692979
PRI_tau_phi,-0.0051409467,0.0002320807,-0.0039642564,0.0068168906,-0.0107098568,0.0036076273,0.0046243946,0.0009989235,-0.0051068549,0.0018411211,-0.0010447618,1,-3.64276418989632E-05,-0.0025394045,-0.1404787784,0.0041530862,0.1046542228,0.0047375038,0.0012009219,0.005292294,0.0025675685,-0.1954098414,0.0050838079
PRI_lep_pt,0.2851495053,0.288239317,0.3807483189,0.3868356588,-0.113832911,0.097791697,0.4555874759,0.7343490643,-0.0458600289,0.0360545018,-0.0051921236,-3.64276418989632E-05,1,-0.0031085942,-0.0033934505,0.1247114122,-0.0003360867,0.3493679907,0.1296161511,0.3265571287,0.0028354519,0.0015784797,0.2871400182
PRI_lep_eta,0.0029629472,0.0056356483,0.0048672986,-0.0086017712,0.007245452,0.0004853979,-0.0057045753,0.0041337604,-0.007512569,-0.0060930915,0.5841580011,-0.0025394045,-0.0031085942,1,-0.0002372791,-0.004198826,-0.0011527936,-0.004188433,-0.0032404509,-0.0059611401,0.2354840987,-0.0004002506,-0.0045092154
PRI_lep_phi,-0.0030542754,0.0003610906,-0.0029247906,-0.0041585019,-0.0007619574,-0.0050709203,-0.0043086946,-0.0048541124,-0.0018162255,0.0030652953,0.0014910268,-0.1404787784,-0.0033934505,-0.0002372791,1,-0.0040199614,0.2378439966,-0.0079220016,-0.0020927995,-0.0053220126,0.0036750217,-0.3005501382,-0.0050989711
PRI_met,0.092783764,-0.0327505757,-0.1511114202,0.7767593533,-0.3904902892,0.1933492893,0.5454412153,0.002764231,0.2321583724,0.1712882231,-0.0020552991,0.0041530862,0.1247114122,-0.004198826,-0.0040199614,1,0.0035542662,0.5188790304,0.2673904798,0.6574107595,-0.0006842021,0.0021824851,0.5790869914
PRI_met_phi,-0.0001173597,-0.0142264393,-0.001259787,0.0054263665,-0.0007754762,-0.0020497941,0.003554619,-5.43720826355326E-05,0.0056005239,0.0006685992,-0.0001594566,0.1046542228,-0.0003360867,-0.0011527936,0.2378439966,0.0035542662,1,-0.0013110839,0.0019521156,0.0047663954,0.003595405,-0.2986864213,0.0041750481
PRI_met_sumet,0.0807108119,-0.0645408253,0.0237804903,0.711820039,-0.4455723655,0.471256872,0.9052307542,0.0506384484,0.1679433838,0.4524420313,-0.0031224991,0.0047375038,0.3493679907,-0.004188433,-0.0079220016,0.5188790304,-0.0013110839,1,0.5701502547,0.8003533022,-9.67207130841404E-05,0.004679957,0.882628697
PRI_jet_num,0.0060128389,-0.0628986656,-0.0422363232,0.3414518324,-0.2469148632,0.4371947419,0.6111288496,0.0405734574,0.119917853,0.1308772883,0.0005891577,0.0012009219,0.1296161511,-0.0032404509,-0.0020927995,0.2673904798,0.0019521156,0.5701502547,1,0.354666502,-0.0024535164,0.0019579589,0.6669119818
PRI_jet_leading_pt,0.006454448,-0.1517576715,-0.088758082,0.8305505418,-0.5225444454,0.2174653607,0.8806639706,0.0761006568,0.2568974355,0.3777282294,-0.0039681734,0.005292294,0.3265571287,-0.0059611401,-0.0053220126,0.6574107595,0.0047663954,0.8003533022,0.354666502,1,0.0021387687,0.000829988,0.8779198039
PRI_jet_leading_eta,0.0024527204,-0.0001506299,0.0037412736,0.002874363,0.0011556016,-0.0042606734,0.0010246071,0.0031781962,0.0059895467,0.0001625562,0.2156509176,0.0025675685,0.0028354519,0.2354840987,0.0036750217,-0.0006842021,0.003595405,-9.67207130841404E-05,-0.0024535164,0.0021387687,1,-0.0068290845,0.0004784808
PRI_jet_leading_phi,0.0065879131,0.0047274378,0.0043799894,0.0007435974,0.0062429316,0.0039397101,0.0023765468,-9.90685141176735E-06,0.0006682505,0.0038400289,-0.0020094638,-0.1954098414,0.0015784797,-0.0004002506,-0.3005501382,0.0021824851,-0.2986864213,0.004679957,0.0019579589,0.000829988,-0.0068290845,1,0.0014759684
PRI_jet_all_pt,0.003222408,-0.1230340352,-0.0816673298,0.7257961179,-0.4680549273,0.4346040211,0.9614449276,0.0747044906,0.2183844542,0.3173618015,-0.0029692979,0.0050838079,0.2871400182,-0.0045092154,-0.0050989711,0.5790869914,0.0041750481,0.882628697,0.6669119818,0.8779198039,0.0004784808,0.0014759684,1
